"canonical_name","ingredient_type","allergen_codes","certainty","e_number","additive_category_code","concern_level","aliases","explanation_en"
"Whole milk powder","allergen_source","MILK","definite","","","","milk powder|dried milk|milk solids","Milk that has been dried into powder form. Contains milk proteins and lactose."
"Buttermilk","allergen_source","MILK","definite","","","","cultured buttermilk","A dairy product made from the liquid left after churning butter."
"Ghee","allergen_source","MILK","definite","","","","clarified butter","Butter that has been simmered to remove milk solids and water; still a dairy-derived product."
"Egg white","allergen_source","EGG","definite","","","","albumen","The clear part of an egg, separate from the yolk."
"Albumin","allergen_source","EGG","probable","","","","egg albumin|ovalbumin","A protein most commonly derived from egg white, used as a binder or foaming agent."
"Lysozyme","allergen_source","EGG","definite","","","","egg lysozyme","An enzyme derived from egg white, sometimes used as a natural preservative in cheese."
"Peanut oil","allergen_source","PEANUT","definite","","","","groundnut oil|arachis oil","Oil pressed from peanuts. Highly refined peanut oil is sometimes tolerated by peanut-allergic individuals, but should still be avoided without medical advice."
"Peanut butter","allergen_source","PEANUT","definite","","","","groundnut paste","A paste made from ground peanuts."
"Almond","allergen_source","TREE_NUT","definite","","","","almond flour|almond meal","A tree nut, often used whole, sliced, or ground into flour."
"Cashew","allergen_source","TREE_NUT","definite","","","","cashew nut|cashew paste","A tree nut commonly used whole or as a paste/butter."
"Hazelnut","allergen_source","TREE_NUT","definite","","","","filbert","A tree nut common in chocolate spreads and confectionery."
"Walnut","allergen_source","TREE_NUT","definite","","","","","A tree nut, often used chopped or as an oil."
"Soy protein isolate","allergen_source","SOY","definite","","","","textured soy protein|isolated soy protein","A concentrated protein extracted from soybeans."
"Soy sauce","allergen_source","SOY|WHEAT","definite","","","","soya sauce","A fermented condiment made from soybeans; many varieties also contain wheat."
"Wheat flour","allergen_source","WHEAT","definite","","","","plain flour|all-purpose flour|refined flour","Flour milled from wheat grain. Also a source of gluten."
"Vital wheat gluten","allergen_source","WHEAT","definite","","","","wheat gluten","The concentrated protein (gluten) extracted from wheat flour."
"Semolina","allergen_source","WHEAT","definite","","","","durum wheat semolina","A coarse flour milled from durum wheat, common in pasta."
"Fish sauce","allergen_source","FISH","definite","","","","nam pla","A condiment made from fermented fish, common in Southeast Asian cooking."
"Anchovy extract","allergen_source","FISH","definite","","","","anchovy paste","A concentrated flavouring made from anchovies."
"Fish gelatin","allergen_source","FISH","definite","","","","fish collagen","Gelatin derived from fish skin/bones, used as a gelling agent."
"Shrimp powder","allergen_source","SHELLFISH","definite","","","","dried shrimp powder","A flavouring made from dried, ground shrimp."
"Crab extract","allergen_source","SHELLFISH","definite","","","","crab flavouring","A flavouring derived from crab, sometimes used in imitation seafood."
"Sesame oil","allergen_source","SESAME","definite","","","","gingelly oil|til oil","Oil pressed from sesame seeds."
"Tahini","allergen_source","SESAME","definite","","","","sesame paste","A paste made from ground sesame seeds."
"Sodium benzoate","additive","","","E211","PRESERVATIVE","1","","A preservative that inhibits the growth of mould, yeast and some bacteria."
"Potassium sorbate","additive","","","E202","PRESERVATIVE","1","","A preservative widely used to prevent mould and yeast growth in food."
"Sodium nitrite","additive","","","E250","PRESERVATIVE","3","","A preservative and colour-fixative used mainly in cured meats; consumption is regulated due to nitrosamine formation risk when overheated."
"Citric acid","additive","","","E330","ACIDITY_REGULATOR","1","","A natural acid used to add tartness and control acidity; also acts as a preservative."
"Ascorbic acid","additive","","","E300","ANTIOXIDANT","1","vitamin C","Vitamin C, used both as a nutrient and to prevent browning/oxidation."
"Sodium erythorbate","additive","","","E316","ANTIOXIDANT","1","","An antioxidant closely related to vitamin C, used to preserve colour and freshness."
"Xanthan gum","additive","","","E415","THICKENER","1","","A common thickening and stabilising agent produced by fermenting sugar with bacteria."
"Carrageenan","additive","","","E407","STABILISER","2","","A thickener/stabiliser extracted from red seaweed."
"Aspartame","additive","","","E951","SWEETENER","2","","An artificial low-calorie sweetener. Not suitable for people with phenylketonuria (PKU)."
"Sucralose","additive","","","E955","SWEETENER","1","","An artificial low-calorie sweetener made from sugar."
"Sunset yellow","additive","","","E110","COLOUR","3","sunset yellow fcf","A synthetic orange-yellow food colouring; some studies link azo dyes to hyperactivity in sensitive children."
"Allura red","additive","","","E129","COLOUR","3","allura red ac","A synthetic red food colouring; some studies link azo dyes to hyperactivity in sensitive children."
"Maltodextrin","neutral","","","","","","","A mildly sweet carbohydrate filler made from starch. Not an allergen itself, but can be derived from wheat or corn."
"Guar gum","additive","","","E412","THICKENER","1","","A thickening agent derived from guar beans."
"Calcium propionate","additive","","","E282","PRESERVATIVE","1","","A preservative commonly used in bread to inhibit mould growth."
