"canonical_name","ingredient_type","allergen_codes","certainty","e_number","additive_category_code","concern_level","aliases","explanation_en"
"Whole milk powder","allergen_source","MILK","definite","","","","milk powder|dried milk|milk solids","Milk that has been dried into powder form. Contains milk proteins and lactose."
"Buttermilk","allergen_source","MILK","definite","","","","cultured buttermilk","A dairy product made from the liquid left after churning butter."
"Ghee","allergen_source","MILK","definite","","","","clarified butter","Butter that has been simmered to remove milk solids and water; still a dairy-derived product."
"Egg white","allergen_source","EGG","definite","","","","albumen","The clear part of an egg, separate from the yolk."
"Albumin","allergen_source","EGG","probable","","","","egg albumin","A protein most commonly derived from egg white, used as a binder or foaming agent."
"Lysozyme","allergen_source","EGG","definite","","","","egg lysozyme","An enzyme derived from egg white, sometimes used as a natural preservative in cheese."
"Peanut oil","allergen_source","PEANUT","definite","","","","groundnut oil|arachis oil","Oil pressed from peanuts. Highly refined peanut oil is sometimes tolerated by peanut-allergic individuals, but should still be avoided without medical advice."
"Peanut butter","allergen_source","PEANUT","definite","","","","groundnut paste","A paste made from ground peanuts."
"Almond","allergen_source","TREE_NUT","definite","","","","almond flour","A tree nut, often used whole, sliced, or ground into flour."
"Cashew","allergen_source","TREE_NUT","definite","","","","cashew nut|cashew paste","A tree nut commonly used whole or as a paste/butter."
"Hazelnut","allergen_source","TREE_NUT","definite","","","","filbert","A tree nut common in chocolate spreads and confectionery."
"Walnut","allergen_source","TREE_NUT","definite","","","","","A tree nut, often used chopped or as an oil."
"Soy protein isolate","allergen_source","SOY","definite","","","","textured soy protein|isolated soy protein","A concentrated protein extracted from soybeans."
"Soy sauce","allergen_source","SOY|WHEAT","definite","","","","soya sauce","A fermented condiment made from soybeans; many varieties also contain wheat."
"Wheat flour","allergen_source","WHEAT","definite","","","","plain flour|all-purpose flour|refined flour","Flour milled from wheat grain. Also a source of gluten."
"Vital wheat gluten","allergen_source","WHEAT","definite","","","","wheat gluten","The concentrated protein (gluten) extracted from wheat flour."
"Semolina","allergen_source","WHEAT","definite","","","","durum wheat semolina","A coarse flour milled from durum wheat, common in pasta."
"Fish sauce","allergen_source","FISH","definite","","","","nam pla","A condiment made from fermented fish, common in Southeast Asian cooking."
"Anchovy extract","allergen_source","FISH","definite","","","","anchovy paste","A concentrated flavouring made from anchovies."
"Fish gelatin","allergen_source","FISH","definite","","","","fish collagen","Gelatin derived from fish skin/bones, used as a gelling agent."
"Shrimp powder","allergen_source","SHELLFISH","definite","","","","dried shrimp powder","A flavouring made from dried, ground shrimp."
